Stacje,Miejscowość (lokalizacja),Zakres średniej dziennej mocy dawki [nSv/h],Średnia [nSv/h],Daty
PMS,Babiki,84-108,87,06.09.22-20.09.22
PMS,Bartniki,81-109,85,06.09.22-20.09.22
PMS,Białystok,71-104,76,06.09.22-20.09.22
PMS,Bielsko-Biała,89-104,94,06.09.22-20.09.22
PMS,Chełm,57-71,61,06.09.22-20.09.22
PMS,Czerniczyn,83-109,91,06.09.22-20.09.22
PMS,Gdynia,102-109,105,06.09.22-20.09.22
PMS,Gołdap,70-80,72,06.09.22-20.09.22
PMS,Kalisz,64-77,67,06.09.22-20.09.22
PMS,Katowice,84-100,88,06.09.22-20.09.22
PMS,Kielce,88-100,91,06.09.22-20.09.22
PMS,Koszalin,85-92,88,06.09.22-20.09.22
PMS,Kraków,116-122,119,06.09.22-20.09.22
PMS,Krasiczyn,79-93,86,06.09.22-20.09.22
PMS,Krzywe,87-107,95,06.09.22-20.09.22
PMS,Legnica,73-90,78,06.09.22-20.09.22
PMS,Łódź,88-96,91,06.09.22-20.09.22
PMS,Lublin,101-112,104,06.09.22-20.09.22
PMS,Machnów Nowy,60-86,67,06.09.22-20.09.22
PMS,Olsztyn,57-63,59,06.09.22-20.09.22
PMS,Opole,64-85,70,06.09.22-20.09.22
PMS,Radom,58-67,60,06.09.22-20.09.22
PMS,Rzeszów,89-102,95,06.09.22-20.09.22
PMS,Sanok,90-106,97,06.09.22-20.09.22
PMS,Seimianówka,54-80,57,06.09.22-20.09.22
PMS,Siemiatycze,63-88,67,06.09.22-20.09.22
PMS,Stare Sioło,63-81,71,06.09.22-20.09.22
PMS,Szczecin,52-72,56,06.09.22-20.09.22
PMS,Tarnów,80-89,83,06.09.22-20.09.22
PMS,Toruń,49-56,52,06.09.22-20.09.22
PMS,Warszawa,89-96,91,06.09.22-20.09.22
PMS,Włodawa,56-82,62,06.09.22-20.09.22
PMS,Wólka Dobryńska,64-88,69,06.09.22-20.09.22
PMS,Wrocław,74-88,78,06.09.22-20.09.22
PMS,Zielona Góra,87-93,89,06.09.22-20.09.22
IMiGW,Gdynia,0-119,82,06.09.22-20.09.22
IMiGW,Gorzów,83-97,86,06.09.22-20.09.22
IMiGW,Legnica,87-99,90,06.09.22-20.09.22
IMiGW,Lesko,98-114,103,06.09.22-20.09.22
IMiGW,Mikołajki,88-97,90,06.09.22-20.09.22
IMiGW,Świnoujście,68-78,70,06.09.22-20.09.22
IMiGW,Warszawa,68-78,69,06.09.22-20.09.22
IMiGW,Włodawa,65-85,70,06.09.22-20.09.22
IMiGW,Zakopane,99-114,107,06.09.22-20.09.22
PMS,Babiki,80-87,84,09.08.22-23.08.22
PMS,Bartniki,83-101,90,09.08.22-23.08.22
PMS,Białystok,70-75,73,09.08.22-23.08.22
PMS,Bielsko-Biała,89-106,95,09.08.22-23.08.22
PMS,Chełm,55-72,59,09.08.22-23.08.22
PMS,Czerniczyn,85-98,88,09.08.22-23.08.22
PMS,Częstochowa,82-91,85,09.08.22-23.08.22
PMS,Gdynia,101-109,105,09.08.22-23.08.22
PMS,Gołdap,63-71,67,09.08.22-23.08.22
PMS,Kalisz,64-73,67,09.08.22-23.08.22
PMS,Katowice,87-98,90,09.08.22-23.08.22
PMS,Kielce,87-91,89,09.08.22-23.08.22
PMS,Koszalin,84-93,87,09.08.22-23.08.22
PMS,Kraków,116-125,119,09.08.22-23.08.22
PMS,Krasiczyn,83-88,85,09.08.22-23.08.22
PMS,Krzywe,91-103,95,09.08.22-23.08.22
PMS,Legnica,76-90,80,09.08.22-23.08.22
PMS,Łódź,86-96,90,09.08.22-23.08.22
PMS,Lublin,100-108,102,09.08.22-23.08.22
PMS,Machnów Nowy,62-74,64,09.08.22-23.08.22
PMS,Olsztyn,55-62,58,09.08.22-23.08.22
PMS,Opole,66-91,72,09.08.22-23.08.22
PMS,Radom,57-61,59,09.08.22-23.08.22
PMS,Rzeszów,91-97,94,09.08.22-23.08.22
PMS,Sanok,94-100,97,09.08.22-23.08.22
PMS,Seimianówka,50-55,53,09.08.22-23.08.22
PMS,Siemiatycze,60-64,63,09.08.22-23.08.22
PMS,Stare Sioło,68-77,71,09.08.22-23.08.22
PMS,Suwałki,81-89,86,09.08.22-23.08.22
PMS,Szczecin,52-76,56,09.08.22-23.08.22
PMS,Tarnów,79-84,82,09.08.22-23.08.22
PMS,Toruń,49-59,51,09.08.22-23.08.22
PMS,Warszawa,87-91,90,09.08.22-23.08.22
PMS,Włodawa,56-73,59,09.08.22-23.08.22
PMS,Wólka Dobryńska,64-77,66,09.08.22-23.08.22
PMS,Wrocław,78-90,81,09.08.22-23.08.22
PMS,Zielona Góra,88-92,90,09.08.22-23.08.22
IMiGW,Gdynia,70-85,81,09.08.22-23.08.22
IMiGW,Gorzów,85-90,87,09.08.22-23.08.22
IMiGW,Legnica,93-104,96,09.08.22-23.08.22
IMiGW,Lesko,100-105,103,09.08.22-23.08.22
IMiGW,Mikołajki,85-91,89,09.08.22-23.08.22
IMiGW,Świnoujście,67-71,68,09.08.22-23.08.22
IMiGW,Warszawa,65-69,67,09.08.22-23.08.22
IMiGW,Włodawa,64-81,67,09.08.22-23.08.22
IMiGW,Zakopane,103-112,107,09.08.22-23.08.22
PMS,Babiki,78-95,82,1.06.22-14.06.22
PMS,Bartniki,77-84,81,1.06.22-14.06.22
PMS,Białystok,68-75,71,1.06.22-14.06.22
PMS,Bielsko-Biała,87-104,94,1.06.22-14.06.22
PMS,Chełm,56-66,59,1.06.22-14.06.22
PMS,Czerniczyn,85-95,89,1.06.22-14.06.22
PMS,Gdynia,102-106,104,1.06.22-14.06.22
PMS,Gołdap,61-68,64,1.06.22-14.06.22
PMS,Kalisz,63-76,66,1.06.22-14.06.22
PMS,Kielce,86-93,89,1.06.22-14.06.22
PMS,Koszalin,78-84,81,1.06.22-14.06.22
PMS,Kraków,116-122,119,1.06.22-14.06.22
PMS,Krasiczyn,79-89,86,1.06.22-14.06.22
PMS,Krzywe,88-96,92,1.06.22-14.06.22
PMS,Legnica,76-82,79,1.06.22-14.06.22
PMS,Łódź,87-94,89,1.06.22-14.06.22
PMS,Lublin,99-102,100,1.06.22-14.06.22
PMS,Machnów Nowy,61-67,63,1.06.22-14.06.22
PMS,Olsztyn,54-63,57,1.06.22-14.06.22
PMS,Radom,54-61,56,1.06.22-14.06.22
PMS,Rzeszów,91-96,93,1.06.22-14.06.22
PMS,Sanok,85-100,93,1.06.22-14.06.22
PMS,Seimianówka,50-56,53,1.06.22-14.06.22
PMS,Siemiatycze,60-67,63,1.06.22-14.06.22
PMS,Stare Sioło,65-73,69,1.06.22-14.06.22
PMS,Suwałki,81-92,84,1.06.22-14.06.22
PMS,Szczecin,51-58,53,1.06.22-14.06.22
PMS,Tarnów,77-89,81,1.06.22-14.06.22
PMS,Toruń,48-55,51,1.06.22-14.06.22
PMS,Warszawa,87-92,90,1.06.22-14.06.22
