Stacje;Miejscowoœæ (lokalizacja);Zakres œredniej dziennej mocy dawki [nSv/h];Œrednia [nSv/h]
PMS;Babiki;80-87;84
PMS;Bartniki;83-101;90
PMS;Bia³ystok;70-75;73
PMS;Bielsko-Bia³a;89-106;95
PMS;Che³m;55-72;59
PMS;Czerniczyn;85-98;88
PMS;Czêstochowa;82-91;85
PMS;Gdynia;101-109;105
PMS;Go³dap;63-71;67
PMS;Kalisz;64-73;67
PMS;Katowice;87-98;90
PMS;Kielce;87-91;89
PMS;Koszalin;84-93;87
PMS;Kraków;116-125;119
PMS;Krasiczyn;83-88;85
PMS;Krzywe;91-103;95
PMS;Legnica;76-90;80
PMS;£ódŸ;86-96;90
PMS;Lublin;100-108;102
PMS;Machnów Nowy;62-74;64
PMS;Olsztyn;55-62;58
PMS;Opole;66-91;72
PMS;Radom;57-61;59
PMS;Rzeszów;91-97;94
PMS;Sanok;94-100;97
PMS;Seimianówka;50-55;53
PMS;Siemiatycze;60-64;63
PMS;Stare Sio³o;68-77;71
PMS;Suwa³ki;81-89;86
PMS;Szczecin;52-76;56
PMS;Tarnów;79-84;82
PMS;Toruñ;49-59;51
PMS;Warszawa;87-91;90
PMS;W³odawa;56-73;59
PMS;Wólka Dobryñska;64-77;66
PMS;Wroc³aw;78-90;81
PMS;Zielona Góra;88-92;90
IMiGW;Gdynia;70-85;81
IMiGW;Gorzów;85-90;87
IMiGW;Legnica;93-104;96
IMiGW;Lesko;100-105;103
IMiGW;Miko³ajki;85-91;89
IMiGW;Œwinoujœcie;67-71;68
IMiGW;Warszawa;65-69;67
IMiGW;W³odawa;64-81;67
IMiGW;Zakopane;103-112;107
