Stacje;Miejscowoœæ (lokalizacja);Zakres œredniej dziennej mocy dawki [nSv/h];Œrednia [nSv/h]
PMS;Babiki;78-95;82
PMS;Bartniki;77-84;81
PMS;Bia³ystok;68-75;71
PMS;Bielsko-Bia³a;87-104;94
PMS;Che³m;56-66;59
PMS;Czerniczyn;85-95;89
PMS;Gdynia;102-106;104
PMS;Go³dap;61-68;64
PMS;Kalisz;63-76;66
PMS;Kielce;86-93;89
PMS;Koszalin;78-84;81
PMS;Kraków;116-122;119
PMS;Krasiczyn;79-89;86
PMS;Krzywe;88-96;92
PMS;Legnica;76-82;79
PMS;£ódŸ;87-94;89
PMS;Lublin;99-102;100
PMS;Machnów Nowy;61-67;63
PMS;Olsztyn;54-63;57
PMS;Radom;54-61;56
PMS;Rzeszów;91-96;93
PMS;Sanok;85-100;93
PMS;Seimianówka;50-56;53
PMS;Siemiatycze;60-67;63
PMS;Stare Sio³o;65-73;69
PMS;Suwa³ki;81-92;84
PMS;Szczecin;51-58;53
PMS;Tarnów;77-89;81
PMS;Toruñ;48-55;51
PMS;Warszawa;87-92;90
PMS;W³odawa;55-62;58
PMS;Wólka Dobryñska;62-69;66
PMS;Wroc³aw;79-84;81
PMS;Zielona Góra;87-91;89
IMiGW;Gdynia;83-86;84
IMiGW;Gorzów;77-81;78
IMiGW;Legnica;85-88;86
IMiGW;Lesko;92-101;97
IMiGW;Miko³ajki;80-88;82
IMiGW;Œwinoujœcie;63-66;64
IMiGW;Warszawa;63-67;65
IMiGW;W³odawa;57-63;60
IMiGW;Zakopane;111-122;116
