Stacje;Miejscowoœæ (lokalizacja);Zakres œredniej dziennej mocy dawki [nSv/h];Œrednia [nSv/h]
PMS;Babiki;79-86;81
PMS;Bartniki;78-109;85
PMS;Bia³ystok;68-77;70
PMS;Bielsko-Bia³a;88-99;92
PMS;Che³m;56-60;58
PMS;Czerniczyn;86-92;89
PMS;Gdynia;102-105;104
PMS;Go³dap;62-67;63
PMS;Kalisz;64-69;66
PMS;Kielce;85-91;88
PMS;Koszalin;82-85;83
PMS;Kraków;115-121;117
PMS;Krasiczyn;77-85;81
PMS;Krzywe;87-94;91
PMS;Legnica;77-81;79
PMS;£ódŸ;86-93;89
PMS;Lublin;99-102;100
PMS;Machnów Nowy;62-65;63
PMS;Olsztyn;54-60;55
PMS;Radom;53-57;56
PMS;Rzeszów;87-94;92
PMS;Sanok;85-94;90
PMS;Seimianówka;51-59;53
PMS;Siemiatycze;61-66;62
PMS;Stare Sio³o;64-70;68
PMS;Suwa³ki;81-88;83
PMS;Szczecin;52-57;54
PMS;Tarnów;75-82;79
PMS;Toruñ;48-58;50
PMS;Warszawa;87-94;89
PMS;W³odawa;56-61;58
PMS;Wólka Dobryñska;64-70;66
PMS;Wroc³aw;79-86;81
PMS;Zielona Góra;87-92;89
IMiGW;Gdynia;83-85;84
IMiGW;Gorzów;77-85;79
IMiGW;Legnica;85-116;101
IMiGW;Lesko;91-99;96
IMiGW;Miko³ajki;79-87;81
IMiGW;Œwinoujœcie;63-68;65
IMiGW;Warszawa;63-69;65
IMiGW;W³odawa;57-61;60
IMiGW;Zakopane;108-119;115
